model,accuracy,precision,recall,f1,train_time_min,n_train_final
Option C,0.994,0.9954773869346734,0.9924849699398798,0.9939789262418465,0.06715423266092936,16000.0
Option B,0.82,0.8241869918699187,0.812625250501002,0.8183652875882946,0.13486799796422322,
Option A,0.78375,0.7919463087248322,0.7685370741482966,0.7800661072972286,0.027552878856658934,
